data_id	Project Title	Start Year	End Year	ISO3 Code	Region	Country	Client/ Donor	M&E	Public Financial Management and Fiscal Sustainability	Brief Description	Point of contact	Email	Phone	Is Current Project? (true/false)	Practice Area	projects_slug	Prime	Contract Value USD	Contract Number	Sub	Education, Gender, and Youth Development	Knowledge Management and Data Analytics	Link	Security, Transparency, and Governance	Document Title	Energy and Environment	Subcontract Number/Order Number/Grant Number	Link to the document file
0	Integrated Rural Development Program	1984	1984	MEX	Latin America and the Caribbean	Mexico	World Bank	x	x	As part of a mission to assess project progress, DevTech identified major constraints and formulated recommendations to improve project performance. DevTech assessed the institutional aspects of the project with emphasis on program, budget, and investment activities, and their coordination with Mexican federal and state agencies.	World Bank office	speakersbureau@worldbank.org	(202) 473-1000	No	Monitoring and Evaluation~Public Financial Management and Fiscal Sustainability	Integrated-Rural-Development-P												
1	Government Income Policies	1984	1985	JOR	Middle East	Jordan	World Bank	x	x	DevTech participated in an evaluation of the Jordanian fiscal revenues system, examining such issues as equity and efficiency of the tax system, social security, price control, and food subsidies programs. The study also included the impact of tax evasion and avoidance on the fiscal revenue system and an assessment of the effects of tax incentives on the investment activity of the private business sector.				No	Monitoring and Evaluation~Public Financial Management and Fiscal Sustainability	Government-Income-Policies	x	8400.00										
2	Latin America and the Caribbean Institute for Industrial Research Technology	1985	1985	GTM	Latin America and the Caribbean	Guatemala	USAID	x		DevTech conducted an analysis of the internal financial and personnel management systems of ICAITI and made recommendations to improve their effectiveness. The institutional review included the historical, current, and projected balance sheet and cash flow statements to determine the long-term viability of the institution; the management structure, personnel policies, and employee benefits package; and internal financial practices.	Office Information/ Reynold Bloom	eads@usaid.gov	(202) 712-4810	No	Monitoring and Evaluation	Latin-America-and-the-Caribbea	x	8500.00	596-0089-O-00-5206-00	ROCAP								
3	Latin America and the Caribbean Institute of Business Administration (INCAE)	1985	1985	COS	Latin America and the Caribbean	Costa Rica	USAID	x		DevTech evaluated the curriculum and course content of a master's degree program in business economics to be offered in September 1986 to Latin America and the Caribbean students. DevTech performed a two-pronged demand analysis of the program to determine the level of interest in neighboring countries and their students, as well as the potential demand for graduates of the program.	Office Information/ Reynold Bloom	eads@usaid.gov	(202) 712-4810	No	Monitoring and Evaluation~Education, Gender and Youth	Latin-America-and-the-Caribbea	x	2470.00	596-0000-0-00-5293-00		x							
4	Agricultural Credit Project	1985	1985	MEX	Latin America and the Caribbean	Mexico	World Bank	x	x	DevTech participated in a mission to appraise a proposed loan request for agricultural credit in Mexico. DevTech's role was to assess the financial viability of the Mexican Agricultural Trust Funds by making a thorough review of the institution's structure, operations, and financial situation. Additionally, DevTech prepared the Project Completion Report for the Eighth and Interim Agricultural Credit Projects on behalf of the World Bank.				No	Monitoring and Evaluation~Public Financial Management and Fiscal Sustainability	Agricultural-Credit-Project		8000.00	P-4125-ME	x								
5	Financial Management Reform	1985	1986	JAM	Latin America and the Caribbean	Jamaica	Government of Jamaica		x	Under a World Bank Technical Assistance Loan for structural adjustment, DevTech provided expert services to the government of Jamaica through the auspices of the Administrative Reform Programme to assist in the improvement and automation of accounting and financial management systems throughout government operations. DevTech was directly involved in carrying out reorganization and development plans for major divisions of the Ministry of Finance and Planning.	The Auditor General's Department /  Rudolph Irvine	audgen@auditorgeneral.gov.jm	1-876-926-8309	No	Public Financial Management and Fiscal Sustainability	Financial-Management-Reform	x	151000.00										
6	Radio Education in the Dominican Republic	1985	1985	DOM	Latin America and the Caribbean	Dominican Republic	USAID/Washington			DevTech conducted a cost simulation study of the replication and expansion of a USAID/Dominican Republic-sponsored primary education project. The analysis involved collection of field data on current operations and formulation of a quantitative model to project recurrent costs under several assumed scenarios.	Office / Beatriz Andrews	eads@usaid.gov	(202) 712-4810	No	Education, Gender and Youth~Knowledge Management and Data Analytics	Radio-Education-in-the-Dominic	InterAmer. Res. Assocs	9635.00	DPE-5807-6-00-1406-00	x	x	x						
7	Economic Assessment, Center for the Administration of Justice in Latin America	1986	1986		Latin America and the Caribbean		FIU		x	DevTech provided technical assistance in support of the design and development of the automated national financial management systems.	Office / Luis Salas	eads@usaid.gov	(305) 940-5978	No	Public Financial Management and Fiscal Sustainability	Economic-Assessment-Center-fo	x	18022.00	FIU 0013404									
8	National Development Foundation	1986	1986	JAM	Latin America and the Caribbean	Jamaica	Government of Jamaica	x	x	DevTech carried out a study to analyze the direct lending operations of the National Development Foundation/Jamaica. The project involved an assessment of the functions and operations of the Board of Directors, a study of the feasibility of using guarantee scheme programs for microenterprise lending in Jamaica, a management audit of the foundation, and an assessment of the long-term viability of the institution. It also required specific appraisals of counseling and training programs, lending operations, management information systems, and the overall impact of social and economic factors on the effectiveness of the institution's operations.	NDFJ Office	ndfjinfo@ndfj.org.jm	(876) 929-4100	No	Monitoring and Evaluation~Public Financial Management and Fiscal Sustainability	National-Development-Foundatio	x	10400.00										
9	Impact of Technical Assistance on Small Business Development	1986	1986	ECU	Latin America and the Caribbean	Ecuador	USAID	x		As part of an evaluation of the Small Business Development Project in Ecuador, DevTech conducted a study that consisted of gathering evidence of the impact of international technical assistance interventions on the economic development and employment generation role of small industrial enterprises.	Office/ James Finucane	eads@usaid.gov	(202) 712-4810	No	Monitoring and Evaluation	Impact-of-Technical-Assistance	x	5606.00	518-6-230-L				http://www.devtechsys.com/images/eame/moldova_2007_faa-119-biodiversity-analysis.pdf					
